store_name,medicine_name,date,current_stock,daily_demand,expiry_days_left,season,category,demand_trend,lead_time_days,inventory_status,unit_price,reorder_fee,distance_from_distributor_miles
Store A,Paracetamol_500mg,2024-02-01,279,41,131,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-02,244,35,162,winter,Pain Relief,stable,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-03,211,33,274,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-04,170,41,147,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-05,136,34,211,winter,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-06,100,36,317,winter,Pain Relief,stable,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-07,64,36,251,winter,Pain Relief,stable,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-08,339,35,81,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-09,300,39,108,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-10,259,41,229,winter,Pain Relief,increasing,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-11,226,33,114,winter,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-12,187,39,190,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-13,154,33,194,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-14,115,39,226,winter,Pain Relief,stable,3,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-15,81,34,148,winter,Pain Relief,stable,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-16,207,32,112,winter,Pain Relief,decreasing,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-17,173,34,151,winter,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-18,136,37,323,winter,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-19,105,31,109,winter,Pain Relief,decreasing,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-20,73,32,113,winter,Pain Relief,decreasing,3,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-21,242,34,250,winter,Pain Relief,stable,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-22,202,40,103,winter,Pain Relief,increasing,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-23,162,40,329,winter,Pain Relief,increasing,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-24,125,37,311,winter,Pain Relief,stable,2,Critically Low,27.05,20.62,9
